time / s,Au / M,Au(I)Cl2- / M,Au(II)Cl4^2- / M,Au(III)Cl4- / M,Au2Cl6^2- / M,Cl / M,Cl- / M,Cl2 / M,Cl2- / M,Cl2O / M,Cl2O2 / M,Cl2O3 / M,Cl2O4 / M,Cl3- / M,ClO / M,ClO- / M,ClO2 / M,ClO2- / M,ClO3 / M,ClO3- / M,ClOH- / M,H / M,H+ / M,H2 / M,H2O / M,H2O2 / M,HCl / M,HClO / M,HClO2 / M,HO2 / M,HO2- / M,HO3 / M,O / M,O- / M,O2 / M,O2- / M,O3 / M,O3- / M,O4 / M,OH / M,OH- / M,eh- / M
2.8319168536332376e-06,1.0712800793248357e-08,1.0681969221394711e-07,0.0023191880550728792,0.015157180729343219,0.0012617568415454435,5.420307382246153e-06,0.002203652557000266,5.602538636419331e-07,0.0001015147981482226,3.0064630100449884e-41,1.2829531526903548e-17,1.8471208993267791e-31,1.3298579600784362e-47,3.178245486504728e-05,8.349739001961801e-11,1.226921450562247e-16,3.804326211419893e-24,3.8149670448592503e-19,2.81763937498664e-40,3.429149693926023e-21,6.24795923838448e-07,1.686292966900833e-05,0.024659200278260025,0.0006157258499129094,55.55429913581789,0.002492449143769236,1.4574885440404717e-05,7.581531916502204e-11,4.893666985630014e-19,6.341670152368032e-05,2.213387440283235e-09,4.1519461372652347e-13,4.636608357940329e-13,1.4728202555305232e-10,0.00033377281257821167,8.04184786567085e-08,6.069477033977494e-13,7.954147416984498e-14,5.390680079703678e-51,0.00043067995598292314,2.1654029253435646e-07,2.1490105302629796e-06
2.835165963358398e-06,1.0765682445416016e-08,1.0717717893546282e-07,0.0023194559812688147,0.01515184465415424,0.001264290710857778,5.422042142400717e-06,0.0022076306627963004,5.650691312313046e-07,0.00010171534874086432,3.1695631999325057e-41,1.3149690877975254e-17,1.9215554200583428e-31,1.3875428765553745e-47,3.198584967214792e-05,8.44567175769256e-11,1.2385341114013717e-16,3.905815813268749e-24,3.916843460627506e-19,2.9013102932727493e-40,3.520543153089481e-21,6.25768417732114e-07,1.6867394790867874e-05,0.0246638508820652,0.0006163875717880255,55.55429352859421,0.0024950600930476957,1.4641819682385583e-05,7.654688277185588e-11,5.025375020309261e-19,6.345636578665198e-05,2.214946417533016e-09,4.1637317200397594e-13,4.637396995214435e-13,1.4721537294438433e-10,0.00033397205754718504,8.045176684886202e-08,6.076589650515122e-13,7.95380232795134e-14,5.63410577486915e-51,0.0004305864576242244,2.1650149794521872e-07,2.148721345559978e-06
2.8384150730835587e-06,1.0818752586692793e-08,1.0753530053177204e-07,0.0023197220331179482,0.015146509287134858,0.0012668251628470339,5.423769326318266e-06,0.0022116082668990535,5.699141786197995e-07,0.00010191555378403675,3.341189697475604e-41,1.347719834932108e-17,1.9988447583025135e-31,1.447620930815453e-47,3.2189962120459975e-05,8.542508084072642e-11,1.2502292460827684e-16,4.009818894828389e-24,4.0212465933956055e-19,2.9873118281985873e-40,3.6141983556019224e-21,6.267402413665511e-07,1.687185941973763e-05,0.024668499481290476,0.0006170492181723279,55.554287923643784,0.002497669771361914,1.470890984300763e-05,7.728380174483056e-11,5.160378219918361e-19,6.349603354838472e-05,2.216504109495024e-09,4.1755323665600524e-13,4.638181882977174e-13,1.471487617294477e-10,0.00033417143732074735,8.04850566942393e-08,6.083694622852644e-13,7.953459159761601e-14,5.888077963882066e-51,0.00043049295195608014,2.1646273475783017e-07,2.1484323562335517e-06
2.843425030661893e-06,1.090095427443859e-08,1.0808874908095339e-07,0.0023201286149424133,0.015138283819099813,0.0012707342881272054,5.4264177745576845e-06,0.0022177405258860194,5.774435691992501e-07,0.00010222358282111186,3.623547228249556e-41,1.3996954940601448e-17,2.1238587360133263e-31,1.5451700861616089e-47,3.2506097897862265e-05,8.693610160921673e-11,1.2684249642182305e-16,4.1752452384723826e-24,4.187316762832874e-19,3.1246302138806412e-40,3.763162186304514e-21,6.282374257267957e-07,1.6878742675994064e-05,0.024675663450597123,0.0006180692945890208,55.55427928555617,0.0025016912694150423,1.481266464225306e-05,7.8430643271028e-11,5.375180836181154e-19,6.355720613797548e-05,2.2189034751981484e-09,4.193757837388229e-13,4.639384838343531e-13,1.4704613190390357e-10,0.00033447913407773366,8.053639125650444e-08,6.094635158909392e-13,7.952933761689124e-14,6.301384560960325e-51,0.0004303487572577493,2.1640302542763053e-07,2.147987132334698e-06
2.848434988240227e-06,1.0983606476206781e-08,1.086437058816708e-07,0.0023205307847911764,0.015130060038795828,0.0012746447745503149,5.429048388176827e-06,0.0022238715511635216,5.85044335088548e-07,0.0001025307916522194,3.928875935542323e-41,1.453512222229531e-17,2.2563060837352704e-31,1.648999739704616e-47,3.282393631729023e-05,8.846899099589031e-11,1.2868188632768787e-16,4.346999183303345e-24,4.359748667691928e-19,3.2678626167570383e-40,3.917819901934509e-21,6.297330076515252e-07,1.6885624754262123e-05,0.024682822655141153,0.0006190891919832158,55.55427065286897,0.002505709748586982,1.4916789392944404e-05,7.959036304897384e-11,5.598284939954766e-19,6.361838734447777e-05,2.2212997977438915e-09,4.212019041260942e-13,4.640579002796746e-13,1.4694360067312515e-10,0.00033478714969813845,8.0587730056265e-08,6.105557573856873e-13,7.952412891438907e-14,6.742499472265219e-51,0.00043020454644652464,2.1634339060354169e-07,2.147542372079773e-06
2.853444945818561e-06,1.1066710625286204e-08,1.092001701789713e-07,0.0023209285694423924,0.015121837948638948,0.001278556607518924,5.431661274785001e-06,0.002230001318135362,5.927168212632797e-07,0.00010283718119737761,4.258964837548002e-41,1.5092290339227695e-17,2.396604166004102e-31,1.759493866622948e-47,3.314347512334187e-05,9.00239845087404e-11,1.305412210480718e-16,4.525302409576526e-24,4.538765656992144e-19,3.4172454114690557e-40,4.078370910414535e-21,6.312269818655484e-07,1.6892505650971598e-05,0.024689977095761994,0.0006201089106362091,55.554262025579426,0.002509725210690957,1.5021283634187205e-05,8.076304927685154e-11,5.829984930102161e-19,6.367957734356882e-05,2.223693084798062e-09,4.23031592815728e-13,4.641764450532093e-13,1.4684116814247342e-10,0.0003350954831880641,8.063907327332222e-08,6.11646190057763e-13,7.95189652549685e-14,7.213205829918119e-51,0.0004300603202861342,2.1628383019147053e-07,2.147098074931159e-06
2.8584549033968953e-06,1.115026815549972e-08,1.09758141209909e-07,0.0023213219955067707,0.015113617551044211,0.0012824697725198218,5.434256541355519e-06,0.002236129802374422,6.004613716399949e-07,0.00010314275244755703,4.615739182379151e-41,1.5669066630431203e-17,2.5451928774923794e-31,1.877059163757282e-47,3.34647120137385e-05,9.160131914679008e-11,1.324206272358255e-16,4.7103837685457235e-24,4.724598326948699e-19,3.573023849992659e-40,4.245021070737762e-21,6.327193431564265e-07,1.689938536253712e-05,0.024697126773324824,0.0006211284508288093,55.55425340368477,0.0025137376575512164,1.512614690586344e-05,8.194879018946648e-11,6.070584869540998e-19,6.374077630655856e-05,2.2260833439721377e-09,4.2486484481087043e-13,4.642941254932033e-13,1.467388344157263e-10,0.0003354041335586377,8.069042108249612e-08,6.127348172174142e-13,7.951384640522695e-14,7.715397755373353e-51,0.00042991607953676234,2.1622434409714507e-07,2.146654240350053e-06
2.866603974911031e-06,1.1287152940323915e-08,1.1066893954468848e-07,0.002321952690070781,0.015100250080028101,0.0012888376369043116,5.438440572103379e-06,0.0022460954386392517,6.132132889176689e-07,0.00010363804174400586,5.25847947868414e-41,1.665074385372905e-17,2.8058010753022014e-31,2.0845158633661613e-47,3.3990849193169544e-05,9.421531282409632e-11,1.3552082499291663e-16,5.026524753897155e-24,5.042046327208076e-19,3.840732188905325e-40,4.529670321384644e-21,6.351433219168318e-07,1.6910573188096798e-05,0.024708746087426493,0.0006227864288736356,55.55423939104401,0.00252025776681431,1.529750199975776e-05,8.39056015044497e-11,6.481765462593021e-19,6.38403405846826e-05,2.229964831132714e-09,4.2785436549428394e-13,4.644837139059028e-13,1.4657259226323923e-10,0.0003359068508900522,8.077395238927262e-08,6.145017026360441e-13,7.950561533555934e-14,8.604756164340617e-51,0.00042968143193475143,2.1612774401672087e-07,2.145933296860624e-06
2.8747530464251666e-06,1.1425247226868359e-08,1.1158371891550393e-07,0.0023225720358154667,0.015086887103872165,0.0012952089256731076,5.442578720349662e-06,0.0022560575134292988,6.26158246552404e-07,0.00010413117376197719,5.987081273396483e-41,1.7688739247885924e-17,3.0917008528345277e-31,2.313812259763123e-47,3.452146251753532e-05,9.68900806063937e-11,1.3867500593585496e-16,5.36228120617661e-24,5.379222279407759e-19,4.127181009362354e-40,4.831969701745292e-21,6.375629978490896e-07,1.6921757852977882e-05,0.024720352806009843,0.000624443936702998,55.55422539265726,0.002526769911318328,1.5469830267965447e-05,8.589756573294046e-11,6.918730218670296e-19,6.393992971628737e-05,2.233838359514188e-09,4.3085327912065995e-13,4.646710655315716e-13,1.4640661222276827e-10,0.0003364103997968115,8.085749700087559e-08,6.162638343900292e-13,7.949750122113245e-14,9.592076907705398e-51,0.0004294467509737301,2.1603133990507577e-07,2.145213573449393e-06
2.8829021179393023e-06,1.1564557194381664e-08,1.1250247590480846e-07,0.0023231801444397295,0.015073528632952528,0.0013015835777873167,5.446671435742787e-06,0.00226601592449228,6.39297706061483e-07,0.00010462215391278213,6.812596083518419e-41,1.878597814415666e-17,3.4052191711974936e-31,2.567141730122702e-47,3.50565413138304e-05,9.962666777571527e-11,1.418837137761741e-16,5.718769066527175e-24,5.737251048501303e-19,4.4335901011776395e-40,5.152923016349523e-21,6.399783495826984e-07,1.6932939341517333e-05,0.024731946933230196,0.0006261009755169976,55.55421140851228,0.0025332740990983526,1.5643129746521028e-05,8.792506305631499e-11,7.382964475808301e-19,6.403954436455718e-05,2.237703960952409e-09,4.338615642787805e-13,4.648562106014995e-13,1.4624089471442446e-10,0.0003369147761091601,8.094105558676415e-08,6.180212270804253e-13,7.948950308714615e-14,1.0687692164667792e-50,0.00042921203986543804,2.1593513135361996e-07,2.1444950677784055e-06
