time / s,Au / M,Au(I)Cl2- / M,Au(II)Cl4^2- / M,Au(III)Cl4- / M,Au2Cl6^2- / M,Cl / M,Cl- / M,Cl2 / M,Cl2- / M,Cl2O / M,Cl2O2 / M,Cl2O3 / M,Cl2O4 / M,Cl3- / M,ClO / M,ClO- / M,ClO2 / M,ClO2- / M,ClO3 / M,ClO3- / M,ClOH- / M,H / M,H+ / M,H2 / M,H2O / M,H2O2 / M,HCl / M,HClO / M,HClO2 / M,HO2 / M,HO2- / M,HO3 / M,O / M,O- / M,O2 / M,O2- / M,O3 / M,O3- / M,O4 / M,OH / M,OH- / M,eh- / M
8.430487535966056e-09,1.9318953868890945e-28,1.7673137030213033e-22,6.581291003221736e-08,0.019999934187087634,1.1709013959083214e-15,1.1114317995959803e-22,2.3418028216910908e-15,6.3512681123406535e-46,3.7542932934193725e-36,6.978319671578532e-190,1.3073745434535372e-89,1.4518354226006108e-146,1.1492819005393702e-174,6.265089979912649e-66,1.3763742351418629e-45,4.835596371407933e-41,5.091154847410336e-102,2.4342397049432176e-93,4.566475239250886e-130,9.433485271867944e-98,2.1240144718251165e-22,8.813867145982603e-08,0.020000097013425852,7.196778031323546e-09,55.559999900950935,1.9614400796866314e-08,4.443760169611403e-26,1.0349976505811761e-39,7.342596642686643e-94,6.180441805428345e-09,1.7140029123997237e-15,1.3763793801199264e-27,8.244244755690316e-20,4.1676704999900047e-16,0.00025499701007222644,1.480084090790869e-10,2.366970104361163e-22,1.9830250883429012e-19,1.5314783959265886e-180,1.5148692306088316e-07,1.6562747844584852e-09,2.9396228150614698e-08
8.575198873520572e-09,2.1854699291317776e-28,1.943462661603799e-22,6.77614731690474e-08,0.01999993223852431,1.2644994727988136e-15,1.2452185579705043e-22,2.5289989760009293e-15,8.118175385658847e-46,4.625851292347405e-36,1.3443356219224306e-189,1.785586913464674e-89,2.4242991460071136e-146,2.0553460636734277e-174,8.806450856432982e-66,1.5944163623645133e-45,5.353534544632159e-41,7.210261146954284e-102,3.3732745373120687e-93,6.926247078023725e-130,1.31126362184535e-97,2.3371938206822323e-22,8.927968056640267e-08,0.020000098980173308,7.321221885651997e-09,55.559999897562626,1.9951095864142885e-08,4.8866164170210485e-26,1.1580697874263817e-39,1.0304315931503878e-93,6.326719082064543e-09,1.7398812563699007e-15,1.4949440845477847e-27,8.529285653948831e-20,4.2404109707412263e-16,0.0002549969207128306,1.483955497166664e-10,2.490869512444181e-22,2.0201218719876641e-19,2.787581922410829e-180,1.540872001677583e-07,1.6563089117214943e-09,2.941399098022112e-08
8.719910211075087e-09,2.4667864038571374e-28,2.133556620833289e-22,6.97289881090627e-08,0.019999930271009173,1.3636660859845846e-15,1.392268247990708e-22,2.727332202671924e-15,1.033134394726318e-45,5.678494681423293e-36,2.560261027613884e-189,2.425580665222463e-89,4.012067344540293e-146,3.638647599702756e-174,1.2303730268845804e-65,1.8422847024070352e-45,5.915719317959742e-41,1.0149354345739043e-101,4.648259570422964e-93,1.0429856890811533e-129,1.812328160874604e-97,2.56729085655914e-22,9.040226781946379e-08,0.020000100964417327,7.4456755268125485e-09,55.55999989417432,2.028779139905249e-08,5.364525276021619e-26,1.2932076747872675e-39,1.4375267420708347e-93,6.47389966155849e-09,1.7657307175525524e-15,1.6212526598845e-27,8.819156483775151e-20,4.313150210273479e-16,0.00025499683046452,1.487682350343399e-10,2.6190158639821745e-22,2.0572182414726046e-19,5.021071502234822e-180,1.5668747576645858e-07,1.6563414679604028e-09,2.943031458633522e-08
8.864621548629603e-09,2.778281668737131e-28,2.338417039003971e-22,7.171513001553301e-08,0.019999928284867057,1.4686178898958695e-15,1.5536192713825842e-22,2.937235810526067e-15,1.3092404864756363e-45,6.945557872468443e-36,4.822550753132426e-189,3.2777975166066114e-89,6.582780462270607e-146,6.378971492720638e-174,1.708927550919834e-65,2.123431505183672e-45,6.524975433997006e-41,1.4202164570467652e-101,6.37028286559255e-93,1.5596877352950156e-129,2.491116686479003e-97,2.815294687299995e-22,9.150665771856669e-08,0.02000010296595053,7.570138628243846e-09,55.55999989078601,2.0624487409404517e-08,5.879550949231111e-26,1.441347052276536e-39,1.9940180874211837e-93,6.621967175292819e-09,1.791559977985597e-15,1.7556495373594464e-27,9.113856539095577e-20,4.385888243191981e-16,0.00025499673934245305,1.4912767468190957e-10,2.751480510329228e-22,2.0943141449253317e-19,8.953490440651701e-180,1.5928774983798815e-07,1.6563725576776974e-09,2.9445315111419943e-08
8.947002713442065e-09,2.9700772354865165e-28,2.4619608090329566e-22,7.285399736545898e-08,0.01999992714599958,1.5310330542037053e-15,1.6522787150129244e-22,3.062066139023905e-15,1.4954809133650454e-45,7.777217705093016e-36,6.880721124821106e-189,3.8818615402534965e-89,8.692956805931266e-146,8.742854491464833e-174,2.055159326241057e-65,2.2997801408790797e-45,6.893959268642249e-41,1.7152575884050178e-101,7.604054191737029e-93,1.9552354372371794e-129,2.9785602735515477e-97,2.9648708238415272e-22,9.212732273199205e-08,0.02000010411302391,7.640996998984349e-09,55.55999988885712,2.0816161684229606e-08,6.190140634695886e-26,1.5318635448156922e-39,2.3963708987706085e-93,6.706648974624102e-09,1.8062581112930375e-15,1.835906253439178e-27,9.283780015851846e-20,4.427295973821119e-16,0.0002549966870839717,1.4932681003178808e-10,2.8288460712889134e-22,2.1154318526403814e-19,1.2388861668387825e-179,1.6076803127758912e-07,1.6563896386647758e-09,2.945330478338415e-08
9.029383878254528e-09,3.1729959434953455e-28,2.5907280275272595e-22,7.399873965605818e-08,0.019999926001257162,1.59543560713787e-15,1.7561391372117727e-22,3.190871244665627e-15,1.7059988788498036e-45,8.698806696935796e-36,9.786153481876608e-189,4.589894661737756e-89,1.1449803019875114e-145,1.1948323257517991e-173,2.4671052103571862e-65,2.488880917678567e-45,7.279709875988043e-41,2.0679247150523286e-101,9.061613319827436e-93,2.445890162710656e-129,3.5553888208362386e-97,3.120779351929451e-22,9.274220670160569e-08,0.02000010526559248,7.711858280862913e-09,55.55999988692823,2.100783611710111e-08,6.513859568532698e-26,1.6271037158139064e-39,2.8748809220010036e-93,6.791610105647633e-09,1.820953681092096e-15,1.9189644166471396e-27,9.455268183690565e-20,4.468703363725886e-16,0.00025499663454987245,1.4952220927255644e-10,2.907647380846218e-22,2.1365493903265304e-19,1.709170338652475e-179,1.6224831221266552e-07,1.656406292701456e-09,2.9460918858714007e-08
9.11176504306699e-09,3.3875592593537906e-28,2.724884079836556e-22,7.514929934242181e-08,0.019999924850697345,1.6618671051197748e-15,1.8654186645871965e-22,3.3237342402855445e-15,1.9436694574810275e-45,9.71900474189671e-36,1.3872857080017501e-188,5.41850939868635e-89,1.5041933159355175e-145,1.6281247898242576e-173,2.956380416612932e-65,2.691519825703245e-45,7.68280010321283e-41,2.4886342093163948e-101,1.0780772254120071e-92,3.053257417569054e-129,4.2368773476417475e-97,3.2832179835156125e-22,9.335135238192878e-08,0.020000106423616472,7.782722421088131e-09,55.55999988499934,2.1199510709455617e-08,6.851123316282869e-26,1.727263922844231e-39,3.4429830832766103e-93,6.8768476956357e-09,1.8356480028494667e-15,2.0048909895727576e-27,9.628320912441151e-20,4.510110421282317e-16,0.00025499658174284314,1.4971405708012227e-10,2.987897598112998e-22,2.1576667558217682e-19,2.350856123668496e-179,1.6372859263975337e-07,1.6564225359010774e-09,2.9468174920221258e-08
9.194146207879453e-09,3.614307469870461e-28,2.864597837150192e-22,7.630561945151567e-08,0.0199999236943771,1.7303694871904157e-15,1.980342180485015e-22,3.460739003956587e-15,2.211678959234318e-45,1.0847240632287103e-35,1.9602796263643675e-188,6.386807887508187e-89,1.9710714541946777e-145,2.2121736066984956e-173,3.536531951492781e-65,2.9085235490085476e-45,8.103815868797047e-41,2.989704444962942e-101,1.2805336406487501e-92,3.8035873999907295e-129,5.040757358145415e-97,3.452390155046083e-22,9.395480276035192e-08,0.020000107587055855,7.853589368515842e-09,55.559999883070454,2.139118546272864e-08,7.202356196512679e-26,1.8325466704744787e-39,4.116358911753131e-93,6.962358906452188e-09,1.8503423292096316e-15,2.0937537731196517e-27,9.802938071956111e-20,4.551517151498139e-16,0.0002549965286655456,1.4990252967098433e-10,3.069609881070196e-22,2.1787839486996578e-19,3.22389343858416e-179,1.6520887255539833e-07,1.6564383836782885e-09,2.9475089716557666e-08
9.317459132583391e-09,3.9777095326539413e-28,3.0844913758203827e-22,7.804710856836733e-08,0.01999992195288777,1.83686998309409e-15,2.1634196741777763e-22,3.67373999480329e-15,2.6772953092031864e-45,1.2760380399846828e-35,3.2689297424368145e-188,8.145612768173792e-89,2.9400071208217738e-145,3.481234947446318e-173,4.609598591462647e-65,3.262091320584855e-45,8.768821663181699e-41,3.921743640716461e-101,1.6518409615262237e-92,5.264604201539707e-129,6.518129173873561e-97,3.7186523774783545e-22,9.484753358234041e-08,0.02000010933859179,7.959672280277233e-09,55.55999988018318,2.1678095698851043e-08,7.755151315653468e-26,2.000168383417174e-39,5.36134322013581e-93,7.09086228429081e-09,1.872340243618298e-15,2.23240535759729e-27,1.0067238406420038e-19,4.613496575215896e-16,0.0002549964487170374,1.5017870419819177e-10,3.194682436220811e-22,2.210393068538093e-19,5.1431707660132544e-179,1.6742464076941794e-07,1.6564613986513251e-09,2.948483710208584e-08
9.44077205728733e-09,4.371628012664997e-28,3.3178170155664686e-22,7.980119122106224e-08,0.019999920198804894,1.9482488224433774e-15,2.3604709703327763e-22,3.896497672203487e-15,3.232259582937354e-45,1.4976600242522353e-35,5.4138212324499436e-188,1.0354356337979086e-88,4.3614201058068554e-145,5.4448132216764645e-173,5.9859455100517776e-65,3.652896619464418e-45,9.477399766427612e-41,5.125244196079352e-101,2.1234324243667804e-92,7.254653217766348e-129,8.399067165772693e-97,4.001179056197699e-22,9.572774588773858e-08,0.020000111102035235,8.06576121093515e-09,55.55999987729591,2.1965006303545087e-08,8.341706796456378e-26,2.1804629877254722e-39,6.9575411343872825e-93,7.219963187081748e-09,1.8943445750713315e-15,2.378023326199066e-27,1.0335043252437335e-19,4.675475346085566e-16,0.00025499636817760733,1.5044822416290437e-10,3.323104473342897e-22,2.242001800542008e-19,8.153261272333202e-179,1.6964040781827692e-07,1.6564836074559653e-09,2.949390591652038e-08
