time / s,Au,Au(I)Cl2-,Au(II)Cl4^2-,Au(III)Cl4-,Au2Cl6^2-,Cl,Cl-,Cl2,Cl2-,Cl2O,Cl2O2,Cl2O3,Cl2O4,Cl3-,ClO,ClO-,ClO2,ClO2-,ClO3,ClO3-,ClOH-,H,H+,H2,H2O,H2O2,HCl,HClO,HClO2,HO2,HO2-,HO3,O,O-,O2,O2-,O3,O3-,O4,OH,OH-,eh-
8.432748494835681e-07,9.886960613603304e-08,9.825080957267202e-08,0.0064076919590067135,0.0024606363449596,0.005565737287809015,4.0640603544740183e-05,0.008729947988242299,1.2494156012228169e-06,0.0005166772573597022,9.292503785478496e-36,1.560223476047397e-14,2.577647391362217e-26,1.0725801151324689e-39,0.00021781211222129894,4.144548662343379e-09,1.1126138611777704e-15,2.238323395841785e-20,2.0777928773620936e-16,1.0042238560598284e-33,4.1807305807363376e-16,2.421801959819217e-05,0.00041024916184636927,0.026003638177405197,0.06357096393116181,55.42297437805761,0.062123496312732986,0.000647965394341067,7.227678054649139e-10,2.7835736804465553e-16,0.0012421426973348963,8.530661293873566e-06,7.821625469576314e-09,5.534412324514619e-13,3.0173858119081147e-07,0.003213163247887653,5.365247288222482e-06,8.229832236263544e-10,1.4361741128778808e-09,1.9476119763613997e-43,0.0042793681768286615,4.640256415970035e-05,4.678806308502284e-05
8.434963195505685e-07,9.894917264773546e-08,9.8294503620966e-08,0.0064064746465327385,0.0024592172443024638,0.0055670554327442905,4.0640546199336076e-05,0.008731459276418878,1.2505838151218993e-06,0.0005167594883290252,9.364551052854666e-36,1.565585912085746e-14,2.5925743521826793e-26,1.0794189456496998e-39,0.00021794314970637605,4.1507250403831364e-09,1.1136966168354353e-15,2.2469553905146407e-20,2.0858102109761258e-16,1.0087207095463837e-33,4.1967814674766226e-16,2.422162674353145e-05,0.00041022348428545286,0.026004148691054003,0.06358460453532512,55.42294837680903,0.062135231591302284,0.0006485273341773915,7.23481497142168e-10,2.7943917759960415e-16,0.0012424386919724067,8.531937398563522e-06,7.824389660944282e-09,5.534332089567034e-13,3.0171916978199064e-07,0.003214176763002756,5.3664677008234544e-06,8.231790829983184e-10,1.4365066744213547e-09,1.9607760412022593e-43,0.004279272910522802,4.640090485972204e-05,4.6786986859530694e-05
8.439392596845693e-07,9.910839778157186e-08,9.838188710093536e-08,0.006404040322896014,0.0024563817462872808,0.005569690220265937,4.064042388783433e-05,0.008734479081844488,1.2529209268233785e-06,0.0005169236960553755,9.510233374306813e-36,1.576358381881488e-14,2.6226683958283697e-26,1.0932196917314505e-39,0.0002182051051609202,4.163095661913775e-09,1.1158630755959637e-15,2.2643078846214424e-20,2.1019272460022186e-16,1.0177698130240917e-33,4.229047330375001e-16,2.4228833266123953e-05,0.00041017209389633834,0.026005166872033407,0.06361188146249903,55.42289638555804,0.06215869629481721,0.0006496518614129164,7.249094781386625e-10,2.8161397420210785e-16,0.0012430306004253648,8.53449380545527e-06,7.829919498932064e-09,5.534171605828624e-13,3.016802477362124e-07,0.0032162040558917342,5.368909130791864e-06,8.235711134084483e-10,1.4371727680219064e-09,1.9873570316964183e-43,0.00427908247484167,4.639758498319105e-05,4.67848358673099e-05
8.4438219981857e-07,9.926774568679565e-08,9.84692644038624e-08,0.006401606402782441,0.002453549849317515,0.005572323005445003,4.064029141105789e-05,0.008737495194968607,1.2552589463321517e-06,0.000517087565113568,9.658053727075434e-36,1.5871945370045228e-14,2.65308485762827e-26,1.1071858706650357e-39,0.0002184669009265621,4.175490112529849e-09,1.118030795064621e-15,2.2817788076122562e-20,2.1181545691523214e-16,1.0268931726965883e-33,4.2615329033641627e-16,2.4236029669588943e-05,0.0004101206565728538,0.026006181265030612,0.06363915268232061,55.42284440929034,0.06218215319950666,0.0006507772515906871,7.263382531196477e-10,2.838037378344286e-16,0.0012436224012568491,8.537052525055524e-06,7.835451278448812e-09,5.534011103625824e-13,3.0164131071365377e-07,0.0032182316990035484,5.3713512931277175e-06,8.239635602684663e-10,1.437839724485058e-09,2.0142780870851355e-43,0.0042788921679484115,4.639426947949319e-05,4.67826868663956e-05
8.448251399525708e-07,9.942721630885929e-08,9.855663550218729e-08,0.006399172888461229,0.0024507215490977684,0.005574953789294622,4.0640148773595606e-05,0.008740507618814524,1.257597868439476e-06,0.0005172510958641408,9.808039299985493e-36,1.5980946625664676e-14,2.683826650524798e-26,1.1213191884818058e-39,0.0002187285365752238,4.187908403069677e-09,1.1201997722986992e-15,2.2993687325183356e-20,2.1344927718712046e-16,1.0360912966233522e-33,4.2942393751123404e-16,2.4243216134897423e-05,0.0004100691724289177,0.026007191877566404,0.06366641819588881,55.422792447994134,0.06220560231159929,0.0006519035041014191,7.277678185532519e-10,2.8600855111550434e-16,0.0012442140946058793,8.539610821977807e-06,7.840985001023217e-09,5.533850582956397e-13,3.0160246508602604e-07,0.003220259692352052,5.373794127539606e-06,8.24356424648973e-10,1.438507093440529e-09,2.041542981018474e-43,0.004278701989429992,4.639096311146752e-05,4.678053989850349e-05
8.45854545142177e-07,9.979830402019709e-08,9.875966417213356e-08,0.006393518919542635,0.0024441623579887217,0.005581060082250253,4.0639778197393686e-05,0.008747494351938386,1.2630370317829083e-06,0.0005176298421048613,1.0165202054408943e-35,1.6236763147385086e-14,2.7565524259313503e-26,1.1548253151299019e-39,0.00021933596312118805,4.216861027727341e-09,1.1252453607116767e-15,2.340713226311592e-20,2.172896480825623e-16,1.0577610175594701e-33,4.371113280295209e-16,2.4259879244913868e-05,0.0004099493419307855,0.026009526009637948,0.06372976197613166,55.42267174626969,0.06226006862875797,0.000654524272038629,7.310931976758537e-10,2.911914109474901e-16,0.0012455887917525261,8.545555691545798e-06,7.853853044032983e-09,5.533477457221901e-13,3.0151252991475653e-07,0.003224974158200486,5.379473971429005e-06,8.2527106507565e-10,1.4400595728972826e-09,2.1062672481610507e-43,0.004278260504162916,4.6383311625267216e-05,4.677555811120697e-05
8.468839503317832e-07,1.0017005344227108e-07,9.896265878185113e-08,0.006387867187456247,0.002437622507401986,0.005587155586214799,4.063935313907808e-05,0.008754461222952066,1.268480965764792e-06,0.000518006768304368,1.0534621719939806e-35,1.6496092442756607e-14,2.83109502349524e-26,1.1892692688917723e-39,0.0002199425163492887,4.245942628960018e-09,1.13029766238615e-15,2.3827135252590312e-20,2.2119112370533136e-16,1.0798449072966756e-33,4.449204458436228e-16,2.427648859144067e-05,0.0004098292608203385,0.026011839826865314,0.06379307495873589,55.422551125273806,0.062314492924474094,0.0006571496852897258,7.344227883361555e-10,2.964572172512454e-16,0.0012469629095917657,8.551501188918902e-06,7.866731612425635e-09,5.533104231975867e-13,3.014230165545458e-07,0.0032296905159495933,5.385157528263366e-06,8.261879594375621e-10,1.4416143510616357e-09,2.1729265501654935e-43,0.004277819709962766,4.6375702699513726e-05,4.677058721667691e-05
8.479133555213895e-07,1.0054246386511294e-07,9.916561897949891e-08,0.00638221772112169,0.0024311019419444397,0.0055932403144255405,4.063887384395439e-05,0.008761408273133247,1.2739296029459315e-06,0.0005183818791092875,1.0916674375624733e-35,1.6758972161193008e-14,2.9074939226529484e-26,1.2246743545638024e-39,0.00022054819079950902,4.275153343958847e-09,1.1353566265734797e-15,2.4253781281000936e-20,2.251545012963783e-16,1.1023497750226317e-33,4.52852872678666e-16,2.4293044275136948e-05,0.00040970893057138005,0.02601413339812224,0.06385635715821786,55.42243058491661,0.06236887524353349,0.000659779735923652,7.377565528473736e-10,3.0180705674692824e-16,0.0012483364489559788,8.557447754845638e-06,7.879620726041259e-09,5.532730907357425e-13,3.0133390745296574e-07,0.0032344087657540654,5.390844807809285e-06,8.271071066359294e-10,1.4431714760500346e-09,2.2415726783111162e-43,0.0042773796051628595,4.636813533503267e-05,4.676562716953391e-05
8.494545477626124e-07,1.0110125905395497e-07,9.946941946612559e-08,0.006373763810945939,0.0024213755098798947,0.005602330054247851,4.063805533101876e-05,0.00877177219698704,1.2820957939162976e-06,0.0005189400979336805,1.1513008791501167e-35,1.7159254616642227e-14,3.0254208374581907e-26,1.2795227572827556e-39,0.0002214533342702751,4.319128292750328e-09,1.1429431095081665e-15,2.4905118207562688e-20,2.312055494619183e-16,1.1368430982967221e-33,4.649625134421484e-16,2.431773086549721e-05,0.00040952831306193183,0.026017529540443552,0.06395104370857368,55.42225026635575,0.06245021631226911,0.000663726017001038,7.427554901439828e-10,3.0997578606823464e-16,0.0012503917879436747,8.566352655850711e-06,7.898937640400141e-09,5.532171792255234e-13,3.0120125199608185e-07,0.003241476314359768,5.399366580936209e-06,8.284874336601152e-10,1.4455071428824333e-09,2.3481599015506886e-43,0.004276721979984442,4.635688335125644e-05,4.6758221351884056e-05
8.509957400038354e-07,1.0166153193006589e-07,9.977314088691047e-08,0.006365315138074107,0.0024116919993055074,0.005611395713973812,4.063711659851285e-05,0.008782091921232627,1.2902721531993546e-06,0.0005194942732935164,1.2139854292715823e-35,1.7567707444393744e-14,3.147735363835036e-26,1.3366601122581061e-39,0.000222356477975309,4.363393400295898e-09,1.1505442459235439e-15,2.5571826088872863e-20,2.3739985823009244e-16,1.1723187788281282e-33,4.773574892166606e-16,2.4342297876560984e-05,0.00040934714530511447,0.02602088068429786,0.064045661338918,55.42207012804516,0.06253146354031136,0.0006676826486357797,7.477635737295487e-10,3.18339015114065e-16,0.0012524458349456487,8.575259825498255e-06,7.918278301926305e-09,5.531612455144836e-13,3.010694972231742e-07,0.0032485481048928912,5.407896690727753e-06,8.298728049445308e-10,1.4478480656801723e-09,2.459500056400254e-43,0.004276065890609058,4.6345723873905795e-05,4.675083964111583e-05
8.525369322450583e-07,1.0222327979539252e-07,1.0007678194280682e-07,0.006356871809072045,0.0024020512025517255,0.005620437344157273,4.063605855184267e-05,0.008792367601710331,1.2984584265929473e-06,0.0005200444226517643,1.279877508636519e-35,1.7984476866041234e-14,3.2745968012009624e-26,1.3961815143626139e-39,0.00022325760176697496,4.407949167157323e-09,1.1581598468400345e-15,2.625423568697739e-20,2.4374054864675087e-16,1.2088038256307646e-33,4.900439928405522e-16,2.436674583715082e-05,0.0004091654328239794,0.026024187088998455,0.0641402101042819,55.42189016964458,0.06261261709732518,0.000671649600672647,7.527806610771083e-10,3.2690099989306193e-16,0.0012544985931533341,8.58416946437545e-06,7.93764278532128e-09,5.531052896536073e-13,3.0093862888110685e-07,0.0032556241379012416,5.41643514343688e-06,8.312632166913026e-10,1.450194277476389e-09,2.5758056174221885e-43,0.004275411330536483,4.633465592264653e-05,4.6743481885202595e-05
8.540781244862813e-07,1.027865001131441e-07,1.0038034143145781e-07,0.006348433922446513,0.002392452925788461,0.005629454992461767,4.0634882038410976e-05,0.008802599384610452,1.3066543761389689e-06,0.0005205905623162666,1.3491313589839053e-35,1.84097019507183e-14,3.4061597809812017e-26,1.4581798322671334e-39,0.0002241566870125634,4.45279605333658e-09,1.1657897303694528e-15,2.6952667522045633e-20,2.502306084656908e-16,1.24632423185276e-33,5.030279435116203e-16,2.4391075137838643e-05,0.00040898318074647977,0.026027448996901043,0.06423469005634351,55.421710390835074,0.06269367714243232,0.0006756268447559149,7.578066183954784e-10,3.35665804140972e-16,0.0012565500656029336,8.593081166733613e-06,7.95703116048537e-09,5.530493116907109e-13,3.0080865588617815e-07,0.0032627044138646543,5.424981920732498e-06,8.326586655655085e-10,1.452545717310478e-09,2.6972848583541934e-43,0.004274758293738385,4.632367961995171e-05,4.6736147967305185e-05
8.570340704661663e-07,1.0387084568205722e-07,1.009623240988438e-07,0.006332265962866362,0.0023741621022992476,0.005646683550832331,4.063229699014948e-05,0.008822101226657532,1.322400111124202e-06,0.0005216268744960979,1.4919597966139553e-35,1.924943657755604e-14,3.6722314907530905e-26,1.5843745221324192e-39,0.0002258753273512593,4.539626839946672e-09,1.1804628712364215e-15,2.833823127785788e-20,2.6310725859285777e-16,1.3212808659737478e-33,5.287847936468002e-16,2.4437407525544638e-05,0.0004086321366435419,0.02603358155317015,0.06441570650845874,55.42136608357524,0.06284888600777205,0.0006832837401159412,7.674705486515516e-10,3.5305888185925095e-16,0.0012604811218803018,8.610179834064934e-06,7.994284404988382e-09,5.529418864905182e-13,3.005618328936426e-07,0.003276295978591875,5.4413976030509575e-06,8.35349164240364e-10,1.4570704010587156e-09,2.9455517106893575e-43,0.0042735100355652264,4.6302880770070414e-05,4.6722148007306495e-05
8.599900164460514e-07,1.049605808178516e-07,1.015439943128924e-07,0.006316119037152714,0.00235602566008007,0.005663824399096068,4.062928490423031e-05,0.008841443132314372,1.3381789331470929e-06,0.0005226486077996695,1.6489508856297785e-35,2.0121786340505985e-14,3.957344923013367e-26,1.720742217322208e-39,0.00022758627687584587,4.627533206439082e-09,1.1951866529037743e-15,2.978621299349427e-20,2.765661108132466e-16,1.4003349942974252e-33,5.557007323207468e-16,2.4483308316717096e-05,0.0004082791610172918,0.026039552958529253,0.06459647037401678,55.42102243361336,0.06300375254944884,0.0006909781941340163,7.771656949111853e-10,3.712426399203575e-16,0.0012644074805645352,8.627286454076065e-06,8.031626273299808e-09,5.528343804991519e-13,3.003182238710569e-07,0.003289903155785836,5.457843878156819e-06,8.380581560247607e-10,1.4616143497723105e-09,3.215248757171062e-43,0.004272267316602452,4.6282412145716225e-05,4.670823433328186e-05
8.629459624259364e-07,1.0605568765666299e-07,1.021253440854236e-07,0.006299993796796792,0.0023380422701338166,0.00568087787601885,4.062585148865913e-05,0.00886062611934678,1.3539891940061813e-06,0.0005236558742698803,1.8214036671912226e-35,2.102777337318327e-14,4.26272717387239e-26,1.8680370057767735e-39,0.0002292894121983034,4.716518119876393e-09,1.2099598252819987e-15,3.129898938793873e-20,2.906295185232373e-16,1.4836863481638296e-33,5.8382007372591625e-16,2.4528780656260812e-05,0.0004079242886948509,0.026045364869032285,0.06477698201567177,55.42067943875941,0.06315827786024354,0.0006987100070083559,7.868911259155414e-10,3.902475242328257e-16,0.0012683291629763268,8.644400997752202e-06,8.069057249207991e-09,5.527267940551098e-13,3.0007778721253284e-07,0.0033035259480282673,5.474320720456295e-06,8.407856173567292e-10,1.4661775452629416e-09,3.508090639931355e-43,0.004271030094529629,4.626226972471107e-05,4.6694406042893716e-05
8.654068090324281e-07,1.0697145664357096e-07,1.0260907193794221e-07,0.006286586417665752,0.002323186761660897,0.005695008620072411,4.062267583357737e-05,0.008876475607850516,1.3671741483528856e-06,0.0005244834761333169,1.9777721328921163e-35,2.1808423965091198e-14,4.533350186699375e-26,1.999572139070401e-39,0.00023070123708437935,4.791423483531645e-09,1.2222953735065268e-15,3.260957119345768e-20,3.028151111855754e-16,1.5565042322799753e-33,6.081803880765024e-16,2.456631214856253e-05,0.00040762743298674957,0.026050082850925863,0.0649270671437147,55.42039439117766,0.06328666180644196,0.0007051751499864664,7.950100484612688e-10,4.067181208757272e-16,0.0012715904406253855,8.658654956163413e-06,8.100287127714741e-09,5.526371664308582e-13,2.998800138245106e-07,0.003314878934644622,5.488061108291065e-06,8.430703203985472e-10,1.4699911010840563e-09,3.7708548698609435e-43,0.004270004260597898,4.624574705254628e-05,4.668295837665138e-05
8.678676556389197e-07,1.0789092575182972e-07,1.0309256785273495e-07,0.006273194869099222,0.002308435657196348,0.005709079245105439,4.0619215307432275e-05,0.008892216247080531,1.3803788066025427e-06,0.0005253011926525416,2.1467090210173464e-35,2.2613729166063704e-14,4.819708545423558e-26,2.1397322403098917e-39,0.00023210749439011674,4.867079937146715e-09,1.2346635653775656e-15,3.3968213263197854e-20,3.1544937454734347e-16,1.6325697447256622e-33,6.334335564652191e-16,2.4603550657556413e-05,0.0004073293063467323,0.02605469237247148,0.06507697792604422,55.42010979486896,0.0634148106346359,0.0007116659296389014,8.031487782257989e-10,4.2379822292427003e-16,0.0012748485045511776,8.672914245021722e-06,8.131579375966116e-09,5.525474834782623e-13,2.9968439160505733e-07,0.003326242746263654,5.501822643554421e-06,8.453677947244573e-10,1.473817957142066e-09,4.052070327697018e-43,0.004268982182634722,4.622944565704527e-05,4.6671568760631434e-05
8.703285022454113e-07,1.0881408454986827e-07,1.0357582748996299e-07,0.006259819503108794,0.0022937882051525266,0.005723089950913346,4.0615473099360296e-05,0.008907848623313685,1.3936022259698015e-06,0.0005261090873972784,2.329156082807404e-35,2.344431813274684e-14,5.122630686002535e-26,2.2890407154723375e-39,0.00023350811739981798,4.943489023523617e-09,1.2470636803717814e-15,3.537640972632122e-20,3.2854637795118416e-16,1.7120126130336528e-33,6.596074617651759e-16,2.4640497972458185e-05,0.00040702992828224615,0.026059194367841806,0.06522671457366788,55.41982564858867,0.06354272496621213,0.0007181822291430686,8.113067789868137e-10,4.415069881053226e-16,0.0012781033671990145,8.687178796246732e-06,8.16293427077478e-09,5.524577453936307e-13,2.99490899140318e-07,0.003337617383846259,5.515605308177427e-06,8.476780272299154e-10,1.4776580957413684e-09,4.352945694709706e-43,0.004267963836243646,4.621336338059429e-05,4.666023669056714e-05
8.727893488519029e-07,1.0974092257745007e-07,1.0405884658725103e-07,0.006246460664894732,0.0022792436586319634,0.005737040938352096,4.061145236790241e-05,0.008923373322131549,1.4068434667575913e-06,0.0005269072236032365,2.5261188134991323e-35,2.4300831408474808e-14,5.442982951579846e-26,2.4480494226718224e-39,0.00023490304069269713,5.020652236112398e-09,1.259494999066794e-15,3.683569142100271e-20,3.4212053970046555e-16,1.794967008856447e-33,6.86730675875526e-16,2.4677155880386867e-05,0.00040672931812390297,0.026063589764671085,0.0653762772979982,55.41954195109818,0.063670405419659,0.0007247239313026755,8.194835152538079e-10,4.598640473654534e-16,0.00128135504103892,8.701448559825694e-06,8.194352088165573e-09,5.523679523737085e-13,2.992995145381591e-07,0.003349002848198086,5.529409084922802e-06,8.50001004937319e-10,1.481511501499252e-09,4.674761518931642e-43,0.004266949197051014,4.619749805312786e-05,4.6648961665591714e-05
