time / s,Au,Cl,O,H
3.713831919155642e-06,0.02000000000000003,0.08000000000000031,55.5605101000001,111.13000020000018
3.7250445948004526e-06,0.020000000000000035,0.08000000000000038,55.56051010000011,111.13000020000021
3.7422405400220635e-06,0.020000000000000035,0.08000000000000038,55.5605101000001,111.1300002000002
3.759436485243673e-06,0.02000000000000003,0.08000000000000036,55.560510100000116,111.1300002000002
3.7766324304652825e-06,0.020000000000000035,0.08000000000000038,55.560510100000094,111.13000020000023
3.7938283756868917e-06,0.02000000000000003,0.08000000000000035,55.56051010000011,111.13000020000023
3.823651208151783e-06,0.02000000000000003,0.08000000000000038,55.5605101000001,111.13000020000023
3.853474040616673e-06,0.02000000000000003,0.08000000000000038,55.56051010000011,111.13000020000018
3.883296873081564e-06,0.02000000000000003,0.08000000000000035,55.56051010000009,111.1300002000002
3.9131197055464545e-06,0.020000000000000035,0.08000000000000039,55.5605101000001,111.1300002000002
3.967589511904079e-06,0.020000000000000035,0.08000000000000042,55.560510100000116,111.1300002000002
4.0220593182617036e-06,0.02000000000000003,0.08000000000000039,55.56051010000011,111.13000020000023
4.076529124619327e-06,0.020000000000000028,0.08000000000000047,55.5605101000001,111.13000020000018
4.130998930976952e-06,0.020000000000000028,0.08000000000000061,55.5605101000001,111.1300002000002
4.185468737334575e-06,0.020000000000000025,0.08000000000000071,55.5605101000001,111.13000020000017
4.258171124154197e-06,0.02000000000000003,0.08000000000000083,55.5605101000001,111.1300002000002
4.3308735109738195e-06,0.020000000000000028,0.08000000000000083,55.56051010000009,111.13000020000015
4.403575897793442e-06,0.020000000000000028,0.08000000000000078,55.5605101000001,111.13000020000018
4.476278284613064e-06,0.020000000000000028,0.08000000000000071,55.560510100000094,111.13000020000017
4.548980671432686e-06,0.020000000000000025,0.08000000000000063,55.56051010000008,111.13000020000018
4.641659053471604e-06,0.020000000000000025,0.08000000000000053,55.5605101000001,111.13000020000023
4.734337435510521e-06,0.020000000000000018,0.08000000000000049,55.56051010000009,111.1300002000002
4.827015817549439e-06,0.02000000000000002,0.08000000000000052,55.5605101000001,111.1300002000002
4.919694199588356e-06,0.020000000000000025,0.08000000000000053,55.560510100000094,111.1300002000002
5.012372581627274e-06,0.02000000000000002,0.08000000000000047,55.560510100000094,111.13000020000015
5.105050963666191e-06,0.020000000000000025,0.08000000000000054,55.5605101000001,111.1300002000002
5.218120843203042e-06,0.020000000000000018,0.0800000000000006,55.56051010000008,111.13000020000017
5.3311907227398925e-06,0.020000000000000018,0.08000000000000068,55.56051010000008,111.13000020000015
5.444260602276743e-06,0.02000000000000002,0.08000000000000086,55.560510100000094,111.13000020000021
5.557330481813594e-06,0.02000000000000002,0.08000000000000097,55.56051010000012,111.13000020000018
5.6704003613504445e-06,0.02000000000000002,0.0800000000000011,55.5605101000001,111.1300002000002
5.689589077084232e-06,0.02000000000000002,0.08000000000000114,55.560510100000116,111.1300002000002
5.7087777928180214e-06,0.020000000000000018,0.08000000000000156,55.56051010000009,111.1300002000002
5.72796650855181e-06,0.020000000000000014,0.08000000000000154,55.56051010000012,111.1300002000002
5.7471552242855975e-06,0.02000000000000002,0.0800000000000014,55.5605101000001,111.13000020000018
5.766343940019388e-06,0.020000000000000014,0.08000000000000139,55.56051010000011,111.13000020000021
5.803980725171612e-06,0.020000000000000018,0.08000000000000146,55.5605101000001,111.13000020000018
5.841617510323837e-06,0.020000000000000018,0.08000000000000158,55.56051010000011,111.13000020000018
5.8792542954760635e-06,0.020000000000000014,0.08000000000000163,55.560510100000116,111.13000020000023
5.916891080628289e-06,0.020000000000000018,0.08000000000000164,55.56051010000013,111.13000020000018
5.987941822066788e-06,0.020000000000000014,0.0800000000000016,55.560510100000094,111.1300002000002
6.058992563505285e-06,0.02000000000000002,0.08000000000000167,55.560510100000094,111.13000020000023
6.130043304943783e-06,0.02000000000000002,0.08000000000000182,55.5605101000001,111.13000020000015
6.201094046382282e-06,0.020000000000000025,0.08000000000000207,55.56051010000011,111.13000020000017
6.315671273476463e-06,0.020000000000000028,0.08000000000000226,55.5605101000001,111.13000020000015
6.430248500570645e-06,0.020000000000000028,0.0800000000000023,55.56051010000011,111.13000020000015
6.544825727664826e-06,0.020000000000000025,0.08000000000000225,55.5605101000001,111.13000020000015
6.659402954759007e-06,0.02000000000000003,0.08000000000000204,55.5605101000001,111.13000020000015
6.77398018185319e-06,0.02000000000000004,0.08000000000000175,55.56051010000009,111.13000020000015
6.8885574089473725e-06,0.020000000000000035,0.08000000000000158,55.560510100000094,111.13000020000015
7.003134636041554e-06,0.020000000000000035,0.08000000000000153,55.56051010000008,111.13000020000017
7.1177118631357345e-06,0.02000000000000003,0.08000000000000147,55.56051010000009,111.13000020000017
7.257473445352202e-06,0.020000000000000035,0.08000000000000135,55.56051010000009,111.13000020000014
7.397235027568671e-06,0.02000000000000003,0.08000000000000115,55.5605101000001,111.13000020000014
7.536996609785138e-06,0.020000000000000035,0.08000000000000106,55.56051010000009,111.13000020000013
7.676758192001608e-06,0.02000000000000003,0.08000000000000064,55.56051010000009,111.13000020000013
7.816519774218074e-06,0.020000000000000028,0.08000000000000135,55.56051010000009,111.13000020000014
7.925215193612632e-06,0.02000000000000003,0.07999999999999986,55.56051010000009,111.13000020000014
7.942853691188707e-06,0.020000000000000028,0.07999999999999953,55.56051010000009,111.13000020000017
7.960492188764781e-06,0.02000000000000003,0.07999999999999946,55.560510100000094,111.13000020000015
7.978130686340858e-06,0.020000000000000028,0.07999999999999942,55.560510100000116,111.13000020000014
7.99576918391693e-06,0.020000000000000028,0.07999999999999949,55.5605101000001,111.13000020000014
8.03104617906908e-06,0.020000000000000028,0.07999999999999952,55.560510100000094,111.13000020000014
8.066323174221229e-06,0.020000000000000025,0.07999999999999938,55.560510100000094,111.13000020000011
8.101600169373378e-06,0.020000000000000028,0.07999999999999928,55.56051010000009,111.13000020000015
8.136877164525529e-06,0.020000000000000025,0.07999999999999924,55.56051010000006,111.13000020000013
8.252870628102521e-06,0.020000000000000025,0.07999999999999917,55.56051010000009,111.13000020000015
8.368864091679513e-06,0.020000000000000025,0.07999999999999911,55.560510100000094,111.13000020000015
8.484857555256505e-06,0.020000000000000025,0.07999999999999899,55.56051010000011,111.13000020000015
8.600851018833498e-06,0.020000000000000028,0.07999999999999885,55.560510100000094,111.13000020000015
8.783594821398488e-06,0.020000000000000025,0.07999999999999853,55.56051010000009,111.13000020000013
8.966338623963478e-06,0.020000000000000025,0.07999999999999832,55.56051010000009,111.13000020000014
9.149082426528466e-06,0.020000000000000025,0.08000000000000014,55.56051010000008,111.13000020000014
9.331826229093458e-06,0.02000000000000002,0.08000000000000365,55.560510100000094,111.13000020000015
9.514570031658448e-06,0.020000000000000018,0.08000000000000507,55.5605101000001,111.13000020000017
